document,label
"'결국', '영화', '「', '봄날', '은', '간다', '」', '는', '이영애', '목도리', '나', '짧', '은', '커트', '식', '의', '헤어', '스타일', '말', '고도', ""'"", '자기', '만', '의', '방', ""'"", '에', '대한', '엄청난', '신드롬', '을', '일으킨', '채', '화려', '한', '흥행', '의', '막', '을', '내렸', '다', '.'",1
"'예술가', '가', '이런', '꿈', '을', '꾸', '면', '그림', '이나', '글', '의', '작품', '소재', '를', '얻', '게', '되', '고', ',', '일반인', '이', '라면', '돈', '의', '가치', '가', '높', '은', '골동품', '등', '을', '얻', '게', '된다', '.'",0
"'안지추', '는', '어린', '시절', '에', '몸', '에', '밴', '나쁜', '습관', '을', '어렵', '게', '극복', '했', '다', '.', '그', '는', '자신', '의', '경험', '을', '통해', '어린', '시절', '에', '배우', '는', '가정', '교육', '의', '중요', '성', '을', '통감', '하', '고', '조기', '에', '가정', '교육', '을', '시작', '하', '라고', '조언', '한다', '.'",1
"'그래서', '우리', '팀', '선수', '들', '한테', '뭐', '라고', '하', '면서', '도', '할', '때', '도', '있', '고', '그리고', '그냥', '상대편', '선수', '가', '좀', '열', '받', '게', '하', '면', '그냥', '한국', '말', '로', '해요', '.', '사실'",1
"'나', '는', '그', '사실', '에', '가슴', '아프', '다', '.', '그래서', '나', '는', '파울', '에게', '전화', '를', '건', '다음', '말', '할', '거', '다', '.', '속', '시원히', '오해', '가', '없', '도록', '.'",1
"'그', '는', '문지방', '께', '까지', '오', '자', '그', '자리', '에', '못', '박혀', '버린', '것', '처럼', '우뚝', '서', '버렸', '다', '.'",0
"'메리', ',', '들', '었', '나', '?', '정말', '무례', '하', '기', '짝', '이', '없', '군', '.', '로벨리아', '가', '나간', '뒤', '문', '을', '닫', '으면서', '프로도', '가', '말', '했', '다', '.'",0
"'그럼', '.', '학교', '에서', '만', '모든', '걸', '다', '배우', '는', '건', '아니', '니까', '.', '이렇게', '길', '을', '걸으면서', '도', '배우', '고', '자연', '의', '무얼', '바라보', '면서', '도', '배우', '고', '.'",0
"'하하', ',', '정말', '간', '만', '에', '들', '어', '보', '는', '삼류', '소설', '의', '내용', '이', '군요', '.', '…', '그', '죽', '은', '친구', '가', '듣', '게', '되', '면', '미안', '한', '말', '이', '되', '겠', '지만', '말', '입니다', '.'",1
"'그리고', '3', '개월', '정도', '후', '엔', '다시', '회사', '가', '정상', '궤도', '에', '올랐', '고', '지금', '은', '더', '좋', '은', '조건', '에서', '근무', '하', '고', '있', '다', '.', '그리고', '얼마', '되', '지', '않', '아', '내', '가', '갈', '뻔', '했', '던', '회사', '는', '문', '을', '닫', '았', '다', '.'",1
"'아버지', '천제', '시여', ',', '이것', '이', '제게', '준비', '되', '어', '있', '는', '운명', '입니까', '?', '제게', '내리', '는', '천명', '입니까', '?', '그렇', '다면', '아무리', '거친', '벌판', '일', '지', '라도', ',', '칼', '과', '창', '으로', '뒤덮인', '숲', '일지라도', '그', '길', '을', '가', '겠', '습니다', '.'",1
"'광주', '로부터', '의', '소식', '은', '참으로', '가슴', '아픈', '것', '이', '다', '.', '…', '그러나', '총', '을', '쏘', '아서', '는', '안', '된다', '.', '데모', '하', '는', '시민', '은', '우리', '국민', '이', '지', '적', '이', '아니', '므로', '군인', '이', '국민', '에게', '총', '을', '쏘', '아서', '는', '안', '된다', '.'",1
