document	label
아니, 그럴 리는 없었습니다. 탁자나 카펫에 칸보란다가 뿌리를 내렸던 자리가 다른 곳과 색이 달랐으니까요.	0
제가 꼭 성공시켜 우리나라 문화예술계를 빛내겠습니다라는 인사말을 덧붙이고 장관실을 나왔다. 무려 2시간 30분에 걸친 이 장관과의 대담은 이렇게 막을 내렸다.	1
몸에 배고 익숙한 것을 포기하는 게 아깝다고? 어때 할 수 없지. 새로운 것에 적응하면 돼! 죽음은 다만 익숙한 것을 버리고 새로운 것에 적응하는 것일 뿐이야.	1
내가 책상 뒤편에 자리를 잡는 동안 그녀는 복도를 향해 걸어갔다. 그 순간 계단 쪽에서 와글와글 떠드는 소리가 들려왔다. 남자애들과 핑크반 선배들이 우르르 몰려나오고 있었다.	0
지금 뭐하자는 거예요? 사실도 아닌 일에 질투할 정도로 내가 머리 빈 여자로 보여요? 아니, 그리고 열 받고 화나고 짜증나고 질투나면 뭘 어떻게 해줄 건데요?	1
왕지흥의 대승으로 초반 기세가 꺾인 평로치청군은 서서히 멸망의 길을 걷고 있었다.	1
아, 그래요? 하지만 지금 당장은 문을 열 수가 없네요. 마침 필요하긴 한데……	0
언제나 바른 길을 걷고, 바르게 생각하며, 바르게 행동한다면, 당신은 고요히 흐르는 강물과 같이 조용하고 평온하게 일생을 보낼 수 있을 것입니다.	1
그녀를 비롯하여 사주문이 고개를 위층으로 올렸지만 구석에 자리를 잡고 있어서 2층의 바닥만 보일 뿐이었다. 다시 고개를 원위치한 미화선요가 물었다.	0
그러던 어느 날이었습니다. 어머니께서 시장에 갔다가 버스비를 아끼기 위해 세 정거장이나 되는 먼 길을 걸어오시는 모습을 보고 고개를 떨구었습니다.	0
옥년은 형틀에 묶인 채 머리를 흔들었다. 마치 꿈을 꾸고 있는 기분이었다.	0
오는 육일을 유승민 원내대표에 사퇴 시한으로 사실상 못 박으면서 긴장감이 최고조 초고조도에 최고조로 높아지고 있습니다.	1
저는 한 가지 또 가슴이 아팠던 게 홈런 맞은 투수가 저랑 종 씨잖아요.	1
그래서 우리 아이가 재수할 때 이제 막판이 되면 원하던 원하지 않든 그냥 뭐 양껏 쓸 수가 없는 상황이니까 낮춰서 쓸 수밖에 없는 그 아이들을 바 바라보는 선생님이 얼마나 가슴이 아프셨겠어요.	1
앨런이 한쪽 다리를 절룩이며 대장간 문을 열고 안으로 들어갔다. 그의 다리는 어느 해인가 밀 소출이 다른 해보다 적다는 이유로 죽도록 두들겨 맞은 증거였다.	0
아마 그~ 어머니인 김을동 씨가 아들 송일국 씨가 이~ 자신과 똑같은 배우에 길을 가겠다고 했을 때 적극적으로 지지를 해줬다고 해요.	1
① 주인공은 인생을 하루치씩만 산다는 점이다. 내일이 없이 꿈에는 생시를 꿈꾸고 생시에는 꿈을 꾸는 식의 인생을 산다.	0
법구경의 쌍서품에는 이런 구절이 있다. 부처님이 제자와 함께 길을 걷고 있는데, 길가에 묵은 종이 한 장이 떨어져 있는 것을 보고	0
그렇게도 모질게 굴더니, 어린 가슴에 못 박아놓고 천년만년 잘 살 줄 알았더냐. 벌 받았지. 지넘이 그렇게 악착을 떨었으면 잘 살아야제 우째 그 꼬락서니가 되었는고. 휴우.	1
